,name,Record Holder 1,Country 1,Detail 1,value,Record Holder 2,Country 2,Detail 2,Record Holder 3,Country 3,Detail 3
1155,Greatest Grand Slam Head-to-Head Matches Winning Pct.,Roger Federer,SUI,8-0 vs A. Roddick,100.00%,Roger Federer,SUI,8-0 vs L. Hewitt,,,
1157,Greatest All Tour Finals Head-to-Head Matches Winning Pct. (Official and Alternative),Pete Sampras,USA,5-0 vs G. Ivanisevic,100.00%,Novak Djokovic,SRB,5-0 vs T. Berdych,,,
1158,Greatest Masters Head-to-Head Matches Winning Pct.,Novak Djokovic,SRB,10-0 vs S. Wawrinka,100.00%,Roger Federer,SUI,10-0 vs D. Ferrer,,,
1161,Greatest ATP 250/WS Head-to-Head Matches Winning Pct.,Jimmy Connors,USA,9-0 vs I. Fletcher,100.00%,Roger Federer,SUI,9-0 vs J. Nieminen,,,
1172,Most Head-to-Head Finals Won,Rod Laver,AUS,vs K. Rosewall,15,Novak Djokovic,SRB,vs R. Nadal,,,
1176,Most Masters Head-to-Head Finals Won,Rafael Nadal,ESP,vs R. Federer,7,Novak Djokovic,SRB,vs R. Nadal,Rafael Nadal,ESP,vs N. Djokovic
1187,Most Outdoor Head-to-Head Finals Won,Rafael Nadal,ESP,vs R. Federer,14,Novak Djokovic,SRB,vs R. Nadal,,,
1199,Greatest Best of 5 Head-to-Head Finals Winning Pct.,Bjorn Borg,SWE,4-0 vs M. Orantes,100.00%,Roger Federer,SUI,4-0 vs A. Roddick,,,
1202,Greatest Grass Head-to-Head Finals Winning Pct.,Rod Laver,AUS,3-0 vs J. Newcombe,100.00%,Roger Federer,SUI,3-0 vs A. Roddick,Novak Djokovic,SRB,3-0 vs R. Federer
1421,Most Grass Head-to-Head GOAT Points,Rod Laver,AUS,10,10,Roger Federer,SUI,10,,,
1,Most Grand Slam Titles,Roger Federer,SUI,20,20,Rafael Nadal,ESP,20,Novak Djokovic,SRB,20
49,Most Different Grand Slam Titles,Rod Laver,AUS,4,4,Andre Agassi,USA,4,Roger Federer,SUI,4
101,Most Grand Slam Finals in Single Season,Rod Laver,AUS,1969,4,Roger Federer,SUI,2006,Roger Federer,SUI,2007
119,Most Different Masters Slot Finals,Ivan Lendl,USA,9,9,Boris Becker,GER,9,Roger Federer,SUI,9
131,Most Olympics Semi-Finals,Stefan Edberg,SWE,2,2,Fernando Gonzalez,CHI,2,Novak Djokovic,SRB,2
189,Most Olympics Entries,Goran Ivanisevic,CRO,4,4,Andrei Pavel,ROU,4,Roger Federer,SUI,4
